"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	5692
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"			311556
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"0 -  8 years"	"19176"	19381
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"9 - 11 years"	"19177"	50991
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"12 years"	"19178"	87918
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"13 - 15 years"	"19179"	64367
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"16 years and over"	"16+"	67133
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	4956
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"Excluded"	"999"	22532
"Total"	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"			317278
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"0 -  8 years"	"19176"	19547
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"9 - 11 years"	"19177"	51075
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"12 years"	"19178"	89331
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"13 - 15 years"	"19179"	65544
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"16 years and over"	"16+"	69857
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	6270
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"Excluded"	"999"	23062
"Total"	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"			324686
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"0 -  8 years"	"19176"	19056
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"9 - 11 years"	"19177"	52492
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"12 years"	"19178"	91805
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"13 - 15 years"	"19179"	66556
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"16 years and over"	"16+"	71176
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	8070
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"Excluded"	"999"	31856
"Total"	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"			341011
"Total"	"Division 8: Mountain"	"CENS-D8"					1294531
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"0 -  8 years"	"19176"	61893
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"9 - 11 years"	"19177"	98498
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"12 years"	"19178"	175254
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"13 - 15 years"	"19179"	119647
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"16 years and over"	"16+"	145085
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	14759
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"Excluded"	"999"	80489
"Total"	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"			695625
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"0 -  8 years"	"19176"	61171
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"9 - 11 years"	"19177"	99373
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"12 years"	"19178"	174398
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"13 - 15 years"	"19179"	118442
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"16 years and over"	"16+"	147844
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	17912
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"Excluded"	"999"	81747
"Total"	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"			700887
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"0 -  8 years"	"19176"	61388
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"9 - 11 years"	"19177"	100441
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"12 years"	"19178"	176129
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"13 - 15 years"	"19179"	119249
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"16 years and over"	"16+"	148681
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	17299
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"Excluded"	"999"	82703
"Total"	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"			705890
