"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"35-39 years"	"35-39"	74621
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"40-44 years"	"40-44"	14860
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"45-49 years"	"45-49"	742
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"50 years and over"	"50+"	32
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"Under 15 years"	"15"	782
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"15-19 years"	"15-19"	43047
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"20-24 years"	"20-24"	102241
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"25-29 years"	"25-29"	134757
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"30-34 years"	"30-34"	146453
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"35-39 years"	"35-39"	76687
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"40-44 years"	"40-44"	15837
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"45-49 years"	"45-49"	793
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"50 years and over"	"50+"	53
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"Under 15 years"	"15"	733
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"15-19 years"	"15-19"	41272
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"20-24 years"	"20-24"	102726
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"25-29 years"	"25-29"	128886
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"30-34 years"	"30-34"	145731
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"35-39 years"	"35-39"	76954
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"40-44 years"	"40-44"	16091
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"45-49 years"	"45-49"	884
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"50 years and over"	"50+"	39
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"Under 15 years"	"15"	670
