"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 9: Pacific"	"CENS-D9"	"2002"	"2002"	"16 years and over"	"16+"	157048
	"Division 9: Pacific"	"CENS-D9"	"2002"	"2002"	"Not stated/Not on certificate"	"NR"	17066
	"Division 9: Pacific"	"CENS-D9"	"2002"	"2002"	"Excluded"	"999"	0
"Total"	"Division 9: Pacific"	"CENS-D9"	"2002"	"2002"			680992
"Total"	"Division 9: Pacific"	"CENS-D9"					5456010
"Total"							31679420
"---"
"Dataset: Natality, 1995-2002"
"Query Parameters:"
"Title: births_by_div_by_year_by_education_1995_2002"
"Group By: Census Division; Year; Mother's Education"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 12, 2025 7:53:52 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 1995-2002, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-v2002.html on Mar 12, 2025 7:53:52 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality.html#Assurance of Confidentiality."
