"Notes","Division","Division Code","Year","Year Code",Deaths,Population,Crude Rate
,"Division 9: Pacific","CENS-D9","1982","1982",52,33262553,0.001563320
,"Division 9: Pacific","CENS-D9","1983","1983",45,33857152,0.001329114
,"Division 9: Pacific","CENS-D9","1984","1984",40,34436683,0.001161552
,"Division 9: Pacific","CENS-D9","1985","1985",47,35136472,0.001337641
,"Division 9: Pacific","CENS-D9","1986","1986",40,35883157,0.001114729
,"Division 9: Pacific","CENS-D9","1987","1987",32,36676455,0.000872494
,"Division 9: Pacific","CENS-D9","1988","1988",55,37546009,0.001464869
,"Division 9: Pacific","CENS-D9","1989","1989",33,38494285,0.000857270
,"Division 9: Pacific","CENS-D9","1990","1990",62,39200915,0.001581596
,"Division 9: Pacific","CENS-D9","1991","1991",68,40146231,0.001693808
,"Division 9: Pacific","CENS-D9","1992","1992",63,40895715,0.001540504
,"Division 9: Pacific","CENS-D9","1993","1993",59,41411596,0.001424722
,"Division 9: Pacific","CENS-D9","1994","1994",63,41796203,0.001507314
,"Division 9: Pacific","CENS-D9","1995","1995",45,42190359,0.001066594
,"Division 9: Pacific","CENS-D9","1996","1996",40,42682350,0.000937156
,"Division 9: Pacific","CENS-D9","1997","1997",55,43321799,0.001269569
,"Division 9: Pacific","CENS-D9","1998","1998",50,43984684,0.001136759
,"Division 1: New England","CENS-D1","1999","1999",Suppressed,13837653,Suppressed
,"Division 1: New England","CENS-D1","2000","2000",10,13922517,Unreliable
,"Division 1: New England","CENS-D1","2001","2001",Suppressed,14041043,Suppressed
,"Division 1: New England","CENS-D1","2002","2002",Suppressed,14122441,Suppressed
,"Division 1: New England","CENS-D1","2003","2003",Suppressed,14182454,Suppressed
,"Division 1: New England","CENS-D1","2004","2004",Suppressed,14206683,Suppressed
,"Division 1: New England","CENS-D1","2005","2005",18,14216656,Unreliable
,"Division 1: New England","CENS-D1","2006","2006",16,14245540,Unreliable
,"Division 1: New England","CENS-D1","2007","2007",16,14279205,Unreliable
,"Division 1: New England","CENS-D1","2008","2008",17,14340115,Unreliable
,"Division 1: New England","CENS-D1","2009","2009",12,14403575,Unreliable
,"Division 1: New England","CENS-D1","2010","2010",16,14444865,Unreliable
,"Division 1: New England","CENS-D1","2011","2011",26,14492360,0.001794049
,"Division 1: New England","CENS-D1","2012","2012",18,14562704,Unreliable
,"Division 1: New England","CENS-D1","2013","2013",18,14618806,Unreliable
,"Division 1: New England","CENS-D1","2014","2014",21,14680722,0.001430447
