State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
Illinois,2015,40,5123021,446680,1894863,1036990,816222,866673,1012622,1440569,2081535,1577748,701478,11874586,6549560,1801129.0000000002,2089309.6400000001,3890438.6399999997,1670137.8,158116,445,137214,9721.0,10113,950,63947,45965,13640,3215,2167,6173,1108,7084,100073,32801,361
Illinois,2016,28,5072715,447019,1957468,998618,863944,924761,976016,1409383,2020516,1590882,723974,11910878,6511815,1790749.1250000002,2018662.65,3809411.775,1706095.53,154445,473,132457,10487.0,10454,870,61292,45872,13342,3447,2314,5966,1110,7105,98911,31036,298
Illinois,2017,39,5033620,422324,1989617,945729,909776,1007625,932581,1351105,2059198,1589402,694330,11894621,6507123,2017208.13,1984672.515,4001880.645,1678837.734,149390,474,126309,10636.0,11303,879,59396,44710,12995,3313,2341,6595,978,6995,96191,29496,278
Illinois,2018,22,4986125,400363,2035237,942139,974302,1126248,948836,1338377,2048927,1553115,662962,12022819,6475018,1858330.166,2149705.9760000003,4008036.1420000005,1748254.86,144815,529,121526,10645.0,11487,922,56946,44240,12184,3282,2264,6303,985,7001,95103,27391,236
Illinois,2019,20,4931908,379601,2184731,853074,1038825,1224134,877240,1297771,1939036,1572579,615596,11983413,6454516,1852446.092,2078354.152,3930800.2440000004,1729810.2880000002,140128,543,115935,10994.0,12156,925,55336,44802,12009,3018,2137,4054,876,6629,95281,24505,197
Indiana,2011,43,2608915,331400,705289,661957,181312,162087,687496,915426,1270680,799329,432572,6151256,3310492,983216.124,1019631.536,2002847.66,969974.156,83701,885,73067,3961.0,5335,861,35774,31824,11965,2203,1346,407,550,3710,51053,18668,581
Indiana,2012,36,2605419,303669,735727,668394,206355,168478,682596,966870,1232110,820061,408672,6189260,3320189,929652.92,1025938.401,1955591.321,909731.7859999998,83227,982,73053,3889.0,5128,740,35948,31933,11663,2150,1431,363,489,3641,51374,18298,536
Indiana,2013,35,2611163,297459,757664,661994,211756,187491,674681,942933,1227817,832682,429670,6222994,3320189,982775.9440000001,1082381.614,2065157.558,1098982.5590000001,83102,1005,72806,3755.0,5298,761,35977,32038,11890,2203,1477,331,551,3493,51295,18230,653
Indiana,2014,38,2611421,284892,782348,634259,231776,203286,662477,940540,1273758,834293,379290,6224873,3352876,979039.7919999999,1106449.08,2085488.872,942158.1560000001,84080,1131,73677,3907.0,5111,801,36409,28613,10084,2207,1364,216,504,3655,51695,18197,674
Indiana,2015,46,2609926,267963,831956,619529,255864,237680,658640,927791,1233302,848940,362623,6243844,3366591,1003244.1179999999,1033543.437,2036787.555,1043643.21,84040,1115,73172,4092.0,5278,825,36349,29804,9706,1937,1337,188,516,3532,52018,18151,534
