Notes	Census Division	Census Division Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Deaths	Population	Crude Rate
	Division 4: West North Central	CENS-D4	2010	2010	5-14 years	14-May	0	1337114	Unreliable
	Division 4: West North Central	CENS-D4	2010	2010	15-24 years	15-24	10	1405542	Unreliable
	Division 4: West North Central	CENS-D4	2010	2010	25-34 years	25-34	15	1327032	Unreliable
	Division 4: West North Central	CENS-D4	2011	2011	5-14 years	14-May	0	1339906	Unreliable
	Division 4: West North Central	CENS-D4	2011	2011	25-34 years	25-34	30	1349960	2.2
	Division 4: West North Central	CENS-D4	2011	2011	35-44 years	35-44	14	1240021	Unreliable
	Division 4: West North Central	CENS-D4	2011	2011	55-64 years	55-64	0	1300651	Unreliable
	Division 4: West North Central	CENS-D4	2012	2012	5-14 years	14-May	0	1348478	Unreliable
	Division 4: West North Central	CENS-D4	2012	2012	15-24 years	15-24	20	1407368	1.4
	Division 4: West North Central	CENS-D4	2012	2012	25-34 years	25-34	27	1362693	2
	Division 4: West North Central	CENS-D4	2012	2012	35-44 years	35-44	19	1235495	Unreliable
	Division 4: West North Central	CENS-D4	2012	2012	45-54 years	45-54	12	1462499	Unreliable
	Division 4: West North Central	CENS-D4	2012	2012	55-64 years	55-64	0	1321784	Unreliable
	Division 4: West North Central	CENS-D4	2013	2013	5-14 years	14-May	0	1357576	Unreliable
	Division 4: West North Central	CENS-D4	2013	2013	15-24 years	15-24	17	1415454	Unreliable
	Division 4: West North Central	CENS-D4	2013	2013	25-34 years	25-34	23	1369471	1.7
	Division 4: West North Central	CENS-D4	2013	2013	35-44 years	35-44	25	1239660	2
	Division 4: West North Central	CENS-D4	2013	2013	45-54 years	45-54	14	1427592	Unreliable
	Division 4: West North Central	CENS-D4	2013	2013	55-64 years	55-64	0	1352300	Unreliable
	Division 4: West North Central	CENS-D4	2014	2014	5-14 years	14-May	0	1359890	Unreliable
	Division 4: West North Central	CENS-D4	2014	2014	15-24 years	15-24	12	1420689	Unreliable
