,State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks,MMR
45,Illinois,2011,45,5202335,510231,1662240,1183638,642740,638180,1103230,1510381,2187978,1538764,770362,11743659,6559951,1915505.6919999998,1738387.0150000001,3653892.7070000004,1764626.8189999997,161312,2229,10428,214,7802,12099,160475,731,141580,8838,9030,946,110139,51066,96811,64501,2057,9493,56380,55071,17255,7566,4309,2739,1826,787,3732,0,1234,1560,7418,6028,100151,35974,8309,337,27.896250743900023
46,Illinois,2012,35,5183306,508855,1760329,1103664,678962,687302,1082121,1513674,2133231,1604451,765915,11829817,6558602,1954463.396,1836408.5600000003,3790871.956,1534712.868,159160,2275,10834,190,7602,11282,158292,757,139172,9298,9437,924,108193,50761,94863,64297,1785,9059,55222,54571,16570,7382,4337,2798,1874,808,4628,0,1154,1536,6999,6103,99525,34501,8073,331,21.990449861774316
47,Illinois,2013,27,5168870,486479,1797066,1061482,709263,754891,1076230,1493784,2137827,1558602,790013,11866486,6558602,1961021.998,2000373.6099999999,3961395.608,1751146.7340000002,156931,2289,11163,170,8061,10962,155937,851,137412,8607,9792,872,106922,49673,93599,63332,1494,9120,55207,53168,15757,7212,4245,2816,1873,816,5113,0,1109,1510,7059,5864,98757,33723,8332,323,17.205013668427526
48,Illinois,2014,32,5154130,473259,1823740,1049935,771292,780122,1029209,1461162,2110274,1574989,744909,11814140,6559975,1876152.8500000003,2013912.325,3890065.175,1685913.575,158556,2547,10938,157,8675,10676,157513,899,137907,9031,10354,1058,108903,49485,95001,63555,1687,11386,66966,44936,13341,6521,3991,2893,1892,621,4315,0,1215,1528,7174,6021,99577,33387,9130,375,20.18214384823028
49,Illinois,2015,40,5123021,446680,1894863,1036990,816222,866673,1012622,1440569,2081535,1577748,701478,11874586,6549560,1801129.0000000002,2089309.6400000001,3890438.6399999997,1670137.8,158116,2809,11776,178,9844,10355,157174,815,137214,9721,10113,950,109101,48909,94169,63947,1956,8033,65106,45965,13640,6952,4165,3215,2167,738,6173,0,1108,1580,7084,6180,100073,32801,8740,361,25.297882567229124
50,Illinois,2016,28,5072715,447019,1957468,998618,863944,924761,976016,1409383,2020516,1590882,723974,11910878,6511815,1790749.1250000002,2018662.65,3809411.775,1706095.53,154445,3053,11609,233,10543,9891,153482,840,132457,10487,10454,870,106418,47965,93153,61292,2052,6300,63046,45872,13342,6957,4374,3447,2314,766,5966,0,1110,1563,7105,6082,98911,31036,8160,298,18.129431189096444
51,Illinois,2017,39,5033620,422324,1989617,945729,909776,1007625,932581,1351105,2059198,1589402,694330,11894621,6507123,2017208.13,1984672.515,4001880.645,1678837.734,149390,3267,12117,292,10914,9466,148469,784,126309,10636,11303,879,102852,46467,89978,59396,2069,5342,59915,44710,12995,6909,4303,3313,2341,888,6595,0,978,1408,6995,6080,96191,29496,7796,278,26.10616507128991
52,Illinois,2018,22,4986125,400363,2035237,942139,974302,1126248,948836,1338377,2048927,1553115,662962,12022819,6475018,1858330.166,2149705.9760000003,4008036.1420000005,1748254.86,144815,3548,12149,228,12046,8623,143825,855,121526,10645,11487,922,99664,45099,87845,56946,2071,5146,58148,44240,12184,6386,4028,3282,2264,755,6303,0,985,1326,7001,6043,95103,27391,6561,236,15.19179642992784
53,Illinois,2019,20,4931908,379601,2184731,853074,1038825,1224134,877240,1297771,1939036,1572579,615596,11983413,6454516,1852446.092,2078354.152,3930800.2440000004,1729810.2880000002,140128,3733,12744,192,12942,7409,139203,819,115935,10994,12156,925,97172,42925,84773,55336,1783,4774,56362,44802,12009,6364,4111,3018,2137,708,4054,0,876,1323,6629,6088,95281,24505,5107,197,14.272664992007309
54,Indiana,2011,43,2608915,331400,705289,661957,181312,162087,687496,915426,1270680,799329,432572,6151256,3310492,983216.124,1019631.536,2002847.66,969974.156,83701,1097,5707,138,4628,13900,81850,1365,73067,3961,5335,861,58087,25576,47927,35774,1021,2283,22874,31824,11965,5609,3423,2203,1346,648,407,0,550,788,3710,3245,51053,18668,4965,581,51.37334082030083
55,Indiana,2012,36,2605419,303669,735727,668394,206355,168478,682596,966870,1232110,820061,408672,6189260,3320189,929652.92,1025938.401,1955591.321,909731.7859999998,83227,1127,5535,150,4775,13755,81382,1307,73053,3889,5128,740,57615,25583,47279,35948,1024,2276,22717,31933,11663,5601,3341,2150,1431,648,363,0,489,710,3641,3110,51374,18298,4942,536,43.25519362706814
56,Indiana,2013,35,2611163,297459,757664,661994,211756,187491,674681,942933,1227817,832682,429670,6222994,3320189,982775.9440000001,1082381.614,2065157.558,1098982.5590000001,83102,1196,5124,166,4411,13030,81172,1376,72806,3755,5298,761,57750,25334,47125,35977,1024,2095,22076,32038,11890,5782,3387,2203,1477,698,331,0,551,750,3493,3149,51295,18230,4884,653,42.11691656037159
57,Indiana,2014,38,2611421,284892,782348,634259,231776,203286,662477,940540,1273758,834293,379290,6224873,3352876,979039.7919999999,1106449.08,2085488.872,942158.1560000001,84080,1223,5217,147,4897,12672,82118,1385,73677,3907,5111,801,58596,25464,47671,36409,1245,2920,28648,28613,10084,5259,3027,2207,1364,488,216,0,504,769,3655,3176,51695,18197,5348,674,45.195052331113224
58,Indiana,2015,46,2609926,267963,831956,619529,255864,237680,658640,927791,1233302,848940,362623,6243844,3366591,1003244.1179999999,1033543.437,2036787.555,1043643.21,84040,1233,5387,154,5242,12014,81963,1481,73172,4092,5278,825,59157,24873,47691,36349,1079,3134,28655,29804,9706,4890,2844,1937,1337,460,188,0,516,792,3532,3180,52018,18151,5258,534,54.735840076154204
59,Indiana,2016,50,2601446,261159,871593,593507,298523,250387,618473,896523,1270232,869743,367459,6291795,3365716,1023177.664,1097223.416,2120401.08,959229.0599999999,83091,1271,5880,154,5650,11212,80989,1367,71738,4388,5349,931,58310,24762,47643,35448,1128,2926,27491,30758,9452,4699,2603,1988,1381,464,191,0,572,795,3592,3290,51504,17559,5196,525,60.174988867627064
60,Indiana,2017,40,2600916,257797,934195,572495,324364,282313,599371,866960,1251087,893148,363158,6347371,3380666,980393.1399999999,1139284.442,2119677.582,1068290.456,82170,1521,6061,135,6161,11098,80067,1354,71066,4254,5137,960,57725,24431,47022,35142,1229,2242,26678,31012,9547,4606,2743,2001,1387,511,206,0,504,746,3555,3247,51863,16929,4788,483,48.67956675185591
