Division,Year,    Male:        6 to 17 years:            No health insurance coverage,    Male:        18 to 24 years:            No health insurance coverage,    Male:        25 to 34 years:            No health insurance coverage,    Male:        35 to 44 years:            No health insurance coverage,    Male:        45 to 54 years:            No health insurance coverage,    Male:        55 to 64 years:            No health insurance coverage,    Male:        65 to 74 years:            No health insurance coverage,    Male:        75 years and over:            No health insurance coverage,    Female:        Under 6 years:            No health insurance coverage,    Female:        6 to 17 years:            No health insurance coverage,    Female:        18 to 24 years:            No health insurance coverage,    Female:        25 to 34 years:            No health insurance coverage,    Female:        35 to 44 years:            No health insurance coverage,    Female:        45 to 54 years:            No health insurance coverage,    Female:        55 to 64 years:            No health insurance coverage,    Female:        65 to 74 years:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Male:        Under 6 years:            With health insurance coverage,    Male:        6 to 17 years:            With health insurance coverage,    Male:        18 to 24 years:            With health insurance coverage,    Male:        25 to 34 years:            With health insurance coverage,    Male:        35 to 44 years:            With health insurance coverage,    Male:        45 to 54 years:            With health insurance coverage,    Male:        55 to 64 years:            With health insurance coverage,    Male:        65 to 74 years:            With health insurance coverage,    Male:        75 years and over:            With health insurance coverage,    Female:        Under 6 years:            With health insurance coverage,    Female:        6 to 17 years:            With health insurance coverage,    Female:        18 to 24 years:            With health insurance coverage,    Female:        25 to 34 years:            With health insurance coverage,    Female:        35 to 44 years:            With health insurance coverage,    Female:        45 to 54 years:            With health insurance coverage,    Female:        55 to 64 years:            With health insurance coverage,    Female:        65 to 74 years:            With health insurance coverage,    Female:        75 years and over:            With health insurance coverage
East South Central Division!!Estimate,2013,"34,585","93,828","250,751","365,418","267,216","223,558","152,341","2,881","1,081","33,700","87,034","204,247","293,570","237,152","224,545","168,578","5,536","2,373","682,763","1,410,636","664,450","757,251","862,949","995,711","982,131","729,624","418,748","658,466","1,342,601","719,507","902,829","979,651","1,080,656","1,074,440","870,603","651,513"
West South Central Division!!Estimate,2013,"133,991","413,083","702,917","959,021","728,865","585,146","362,676","21,678","6,742","139,718","399,126","596,943","839,677","708,941","583,054","408,090","27,998","12,547","1,536,372","2,925,559","1,197,163","1,602,013","1,645,670","1,794,910","1,675,209","1,212,505","731,895","1,454,866","2,792,302","1,274,948","1,794,783","1,787,279","1,898,842","1,800,167","1,445,148","1,079,807"
Mountain Division!!Estimate,2013,"79,252","220,630","326,926","475,358","360,455","295,463","196,588","10,907","3,028","75,795","213,183","265,329","364,661","308,344","268,121","220,054","12,500","4,474","880,010","1,737,910","810,722","1,074,373","1,077,215","1,126,884","1,116,459","856,236","536,907","836,789","1,659,142","837,140","1,173,046","1,124,957","1,186,464","1,183,818","982,445","715,638"
Pacific Division!!Estimate,2013,"101,485","326,207","749,707","1,214,691","872,958","706,123","460,625","30,493","9,464","104,522","317,138","605,629","848,417","704,810","648,727","496,661","42,685","13,451","1,945,710","3,818,836","1,854,647","2,431,307","2,477,097","2,690,090","2,471,133","1,720,621","1,137,861","1,845,772","3,645,780","1,909,170","2,737,978","2,690,317","2,828,025","2,640,675","2,056,171","1,647,556"
New England Division!!Estimate,2014,"14,003","29,108","77,033","131,973","88,643","81,581","51,063","3,398","1,150","10,820","33,990","48,622","79,147","53,924","64,227","50,909","5,013","1,339","457,174","1,040,027","653,356","781,491","774,145","973,019","912,092","591,724","373,407","442,285","991,978","678,738","864,369","858,866","1,054,923","989,314",,
Middle Atlantic Division!!Estimate,2014,"54,739","131,768","300,846","597,678","414,886","337,322","216,939","17,819","7,067","52,357","129,620","229,534","409,694","299,881","290,935","206,963","19,430","9,069","1,429,206","2,933,153","1,677,685","2,134,743","2,091,893","2,510,543","2,362,773","1,560,239","1,044,984","1,363,639","2,823,032","1,736,962","2,393,762","2,327,202","2,733,931","2,596,855",,
East North Central Division!!Estimate,2014,"74,019","173,414","396,999","622,536","454,110","366,113","246,946","13,938","4,880","65,511","167,057","292,644","406,353","341,964","327,791","247,335","14,626","7,230","1,658,740","3,565,088","1,879,145","2,301,481","2,370,032","2,776,722","2,721,667","1,787,650","1,139,677","1,592,657","3,413,621","1,958,152","2,575,620","2,564,016","2,937,042","2,913,073",,
West North Central Division!!Estimate,2014,"38,445","95,243","160,645","259,739","176,942","146,036","94,064","3,519",738,"36,997","89,198","135,002","194,245","147,127","126,879","98,201","4,818","1,691","798,552","1,603,230","870,584","1,106,374","1,068,799","1,221,370","1,227,829","801,226","526,971","753,677","1,540,636","875,182","1,176,660","1,098,356","1,268,296","1,273,759",,
South Atlantic Division!!Estimate,2014,"109,445","354,223","695,723","1,129,448","879,844","731,014","462,897","28,614","10,413","115,597","341,989","576,920","886,599","730,904","699,135","524,923","40,395","21,849","2,167,272","4,422,561","2,207,821","2,738,727","2,897,955","3,378,396","3,218,159","2,576,219","1,621,952","2,068,314","4,237,418","2,331,846","3,232,351","3,337,855","3,706,934","3,615,448",,
East South Central Division!!Estimate,2014,"26,542","76,179","204,096","310,495","224,242","188,193","115,247","2,803","1,231","26,187","73,257","155,079","235,361","195,395","177,797","126,057","5,281","2,238","693,633","1,426,249","698,258","812,673","912,782","1,014,981","1,026,525","758,497","437,308","651,560","1,365,433","754,117","981,219","1,015,104","1,119,178","1,136,419",,
