Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2023,Division 6: East South Central,Region 3: South,7780930,28.66569456350333,40.346682016160024,69.01237657966335,32.609896567633946
2011,Division 7: West South Central,Region 3: South,18676032,28.932981583025768,30.65605116761419,59.58903275063996,30.269873279291875
2012,Division 7: West South Central,Region 3: South,18891869,29.220058121300756,31.282406960370096,60.502465081670856,29.968723369826456
2013,Division 7: West South Central,Region 3: South,18891869,29.210081448267506,32.69958844199058,61.90966989025808,34.04047745090758
2014,Division 7: West South Central,Region 3: South,19417281,30.1620536572551,31.905735885472325,62.067789542727425,30.55751503003948
2015,Division 7: West South Central,Region 3: South,19714537,29.64138875287814,33.66269909356735,63.3040878464455,32.32809561796962
2016,Division 7: West South Central,Region 3: South,19921183,28.1012915347447,34.95546779526096,63.05675933000566,29.68010639729578
2017,Division 7: West South Central,Region 3: South,20143008,30.88180619299759,33.41779142916489,64.29959762216248,34.09237588546855
2018,Division 7: West South Central,Region 3: South,20365257,27.553910053774427,36.90603797437961,64.45994802815403,29.79684685049641
2019,Division 7: West South Central,Region 3: South,20528304,30.764688894903347,35.82594375550946,66.5906326504128,30.97029853513471
2020,Division 7: West South Central,Region 3: South,20327493,28.604668741000182,37.00598133768882,65.61065007868899,28.941501950092913
2021,Division 7: West South Central,Region 3: South,20686253,28.915862544076976,37.505900619121306,66.42176316319828,28.58103770653873
2022,Division 7: West South Central,Region 3: South,20907280,29.115893416073252,38.035895802801704,67.15178921887495,30.320456903050037
2023,Division 7: West South Central,Region 3: South,21222433,30.25826325379376,37.0245050649942,67.28276831878796,32.044008069197346
2011,Division 8: Mountain,Region 4: West,11164173,28.154872743372927,23.925027675583316,52.07990041895625,22.355145911837802
2012,Division 8: Mountain,Region 4: West,11299142,28.070085976439625,24.24698961213161,52.317075588571235,21.3537754636591
2013,Division 8: Mountain,Region 4: West,11299142,28.07790165837371,25.2854061042865,53.36330776266022,23.741264584514468
2014,Division 8: Mountain,Region 4: West,11594884,28.83067913400427,26.067689137726603,54.89836827173088,21.332306067055093
2015,Division 8: Mountain,Region 4: West,11772164,30.164966092895074,24.902368154232306,55.06733424712738,22.876576982787533
2016,Division 8: Mountain,Region 4: West,11913185,28.9812695177654,25.723243397966204,54.7045129157316,21.867213981819305
2017,Division 8: Mountain,Region 4: West,12061541,29.36959072642542,26.614942195197116,55.98453292162253,23.9105557158907
2018,Division 8: Mountain,Region 4: West,12258464,29.69433997603615,27.42728566156412,57.12162563760027,22.73112876131953
2019,Division 8: Mountain,Region 4: West,12405731,29.468797485613702,28.9694712871011,58.43826877271481,23.186307941063692
2020,Division 8: Mountain,Region 4: West,12252495,29.86057207940097,28.45123442205037,58.311806501451336,22.161767721594668
2021,Division 8: Mountain,Region 4: West,12554005,30.818801521904764,30.33982740965931,61.158628931564074,23.06715313559298
2022,Division 8: Mountain,Region 4: West,12669166,29.284489957744654,31.30805760221312,60.592547559957765,23.273293514348143
2023,Division 8: Mountain,Region 4: West,12783493,29.812228465255934,30.192443614589536,60.00467207984547,22.611280453628755
2011,Division 9: Pacific,Region 4: West,25356952,28.62223228564695,24.649361338854924,53.27159362450187,20.43198172240891
2012,Division 9: Pacific,Region 4: West,25587276,29.267871105153986,24.33399939876367,53.601870503917645,20.63240982744705
2013,Division 9: Pacific,Region 4: West,25587276,29.187233228734467,23.808664751965004,52.99589798069947,21.378177012668328
2014,Division 9: Pacific,Region 4: West,26129320,28.02397865309928,25.680696566156335,53.70467521925561,21.902036715842584
2015,Division 9: Pacific,Region 4: West,26382910,29.993757580191115,24.38336144875603,54.37711902894715,20.228258478689423
2016,Division 9: Pacific,Region 4: West,26536308,29.226076182112447,25.789956195111998,55.01603237722444,21.485878932366926
2017,Division 9: Pacific,Region 4: West,26747697,29.23395976483508,26.35408190469632,55.58804166953141,21.256309131960037
2018,Division 9: Pacific,Region 4: West,26827269,29.981196516872437,26.31582086122892,56.297017378101366,21.731646001685824
2019,Division 9: Pacific,Region 4: West,26865940,30.082352149226864,27.952432280426443,58.03478442965331,23.691941305608513
2020,Division 9: Pacific,Region 4: West,26702479,29.82564367900074,29.24301776250812,59.06866144150885,21.354280128822495
2021,Division 9: Pacific,Region 4: West,26650398,29.519911188568365,28.865712647143205,58.38562383571158,21.6138639618065
2022,Division 9: Pacific,Region 4: West,26529581,29.42769281203499,28.73353220693534,58.16122501897033,22.86097530526396
2023,Division 9: Pacific,Region 4: West,26585098,29.645686534614242,28.121639088936213,57.76732562355045,23.632939276733154
