"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Yes"	"1"	39489
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"No"	"2"	230437
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	1487
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"			271413
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Yes"	"1"	37828
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"No"	"2"	232026
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	1476
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"			271330
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Yes"	"1"	36229
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"No"	"2"	236943
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1438
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"			274610
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Yes"	"1"	34044
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"No"	"2"	238422
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1394
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"			273860
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Yes"	"1"	32034
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"No"	"2"	238801
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	1322
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"			272157
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Yes"	"1"	29710
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"No"	"2"	234133
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"9"	1427
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"			265270
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Yes"	"1"	27628
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"No"	"2"	234102
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"9"	946
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"			262676
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Yes"	"1"	25363
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"No"	"2"	231530
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"9"	963
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"			257856
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Yes"	"1"	22878
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"No"	"2"	224650
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	1000
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"			248528
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Yes"	"1"	19561
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"No"	"2"	230290
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"9"	1657
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"			251508
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Yes"	"1"	15375
