"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	201
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Yes"	"1"	4273
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"No"	"2"	269398
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	189
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Yes"	"1"	4494
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"No"	"2"	267559
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	104
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Yes"	"1"	4909
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"No"	"2"	260225
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"9"	136
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Yes"	"1"	5353
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"No"	"2"	257239
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"9"	84
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Yes"	"1"	6008
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"No"	"2"	251731
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"9"	117
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Yes"	"1"	6602
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"No"	"2"	241807
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	119
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Yes"	"1"	7266
