"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Eclampsia"	"Eclampsia Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"No"	"2"	560654
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1466
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Yes"	"1"	939
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"No"	"2"	560170
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	664
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Yes"	"1"	942
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"No"	"2"	553871
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	738
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Yes"	"1"	1074
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"No"	"2"	542844
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	875
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Yes"	"1"	877
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"No"	"2"	534117
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	731
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Yes"	"1"	849
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"No"	"2"	525171
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	584
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Yes"	"1"	1023
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"No"	"2"	504271
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	479
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Yes"	"1"	1276
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"No"	"2"	506568
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	843
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Yes"	"1"	1051
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"No"	"2"	496610
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	939
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Yes"	"1"	945
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"No"	"2"	487548
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1101
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Yes"	"1"	1235
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"No"	"2"	243878
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	539
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Not Reported"	"10"	25918
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Yes"	"1"	692
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"No"	"2"	241933
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1130
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Not Reported"	"10"	25720
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Yes"	"1"	685
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"No"	"2"	244646
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	140
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Not Reported"	"10"	25942
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Yes"	"1"	635
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"No"	"2"	244429
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	171
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Not Reported"	"10"	26095
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Yes"	"1"	671
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"No"	"2"	273738
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	201
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Yes"	"1"	755
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"No"	"2"	272916
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	189
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Yes"	"1"	892
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"No"	"2"	271161
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	104
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Yes"	"1"	967
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"No"	"2"	264167
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"9"	136
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Yes"	"1"	873
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"No"	"2"	261719
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"9"	84
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Yes"	"1"	1024
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"No"	"2"	256715
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"9"	117
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Yes"	"1"	841
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"No"	"2"	247568
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	119
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Yes"	"1"	829
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"No"	"2"	250580
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"9"	99
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Yes"	"1"	978
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"No"	"2"	247916
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	126
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Not Reported"	"10"	0
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Yes"	"1"	1125
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"No"	"2"	242671
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	118
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Not Reported"	"10"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Yes"	"1"	2309
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"No"	"2"	680118
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	6262
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Not Reported"	"10"	58342
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Yes"	"1"	1969
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"No"	"2"	674172
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	7085
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Not Reported"	"10"	57393
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Yes"	"1"	2052
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"No"	"2"	673546
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4806
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Not Reported"	"10"	57155
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Yes"	"1"	2290
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"No"	"2"	671535
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Unknown or Not Stated"	"9"	4376
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Not Reported"	"10"	56795
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Yes"	"1"	2118
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"No"	"2"	684017
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Unknown or Not Stated"	"9"	3780
