"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Diabetes"	"Diabetes Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Yes"	"1"	21332
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"No"	"2"	243802
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"9"	136
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Yes"	"1"	21493
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"No"	"2"	241099
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"9"	84
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Yes"	"1"	22150
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"No"	"2"	235589
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"9"	117
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Yes"	"1"	24015
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"No"	"2"	224394
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	119
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Yes"	"1"	26274
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"No"	"2"	225135
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"9"	99
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Yes"	"1"	25483
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"No"	"2"	223411
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	126
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Yes"	"1"	25789
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"No"	"2"	218007
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	118
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Yes"	"1"	34604
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"No"	"2"	706140
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	6287
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Yes"	"1"	38935
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"No"	"2"	694578
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	7106
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Yes"	"1"	40395
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"No"	"2"	692354
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4810
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Yes"	"1"	40601
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"No"	"2"	690000
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Unknown or Not Stated"	"9"	4395
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Yes"	"1"	42864
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"No"	"2"	700892
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Unknown or Not Stated"	"9"	3786
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Yes"	"1"	44169
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"No"	"2"	706697
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1257
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Yes"	"1"	46989
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"No"	"2"	700810
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Unknown or Not Stated"	"9"	911
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Yes"	"1"	49503
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"No"	"2"	690579
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Unknown or Not Stated"	"9"	1067
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Yes"	"1"	51459
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"No"	"2"	680000
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Unknown or Not Stated"	"9"	882
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Yes"	"1"	52440
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"No"	"2"	674396
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Unknown or Not Stated"	"9"	684
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Yes"	"1"	58308
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"No"	"2"	645540
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Unknown or Not Stated"	"9"	622
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Yes"	"1"	62846
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"No"	"2"	654477
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Unknown or Not Stated"	"9"	1111
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Yes"	"1"	62787
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"No"	"2"	666514
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Unknown or Not Stated"	"9"	876
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Yes"	"1"	63476
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"No"	"2"	652750
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1287
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Yes"	"1"	11883
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"No"	"2"	223252
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Unknown or Not Stated"	"9"	230
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Yes"	"1"	12543
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"No"	"2"	221467
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Unknown or Not Stated"	"9"	162
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Yes"	"1"	13107
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"No"	"2"	219969
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Unknown or Not Stated"	"9"	170
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Yes"	"1"	13482
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"No"	"2"	218815
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Unknown or Not Stated"	"9"	182
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Yes"	"1"	13629
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"No"	"2"	222166
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Unknown or Not Stated"	"9"	135
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Yes"	"1"	13978
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"No"	"2"	221538
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Unknown or Not Stated"	"9"	191
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Yes"	"1"	14296
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"No"	"2"	218740
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Unknown or Not Stated"	"9"	299
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Yes"	"1"	15360
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"No"	"2"	216433
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Unknown or Not Stated"	"9"	273
