"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unmarried"	"2"	201133
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Not Reported"	"NR"	58
"Total"	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"			498600
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Married"	"1"	291863
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unmarried"	"2"	197673
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Not Reported"	"NR"	58
"Total"	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"			489594
"Total"	"Division 3: East North Central"	"CENS-D3"					7547137
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Married"	"1"	173268
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unmarried"	"2"	98302
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"			271570
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Married"	"1"	172523
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unmarried"	"2"	96952
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"			269475
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Married"	"1"	173474
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unmarried"	"2"	97939
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"			271413
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Married"	"1"	173873
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unmarried"	"2"	97457
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"			271330
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Married"	"1"	176309
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unmarried"	"2"	98301
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"			274610
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Married"	"1"	176033
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unmarried"	"2"	97827
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"			273860
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Married"	"1"	175712
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unmarried"	"2"	96445
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"			272157
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Married"	"1"	171041
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unmarried"	"2"	94176
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Not Reported"	"NR"	53
"Total"	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"			265270
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Married"	"1"	169326
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unmarried"	"2"	93323
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Not Reported"	"NR"	27
"Total"	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"			262676
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Married"	"1"	165658
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unmarried"	"2"	92163
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Not Reported"	"NR"	35
"Total"	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"			257856
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Married"	"1"	158131
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unmarried"	"2"	90354
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Not Reported"	"NR"	43
"Total"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"			248528
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Married"	"1"	162200
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unmarried"	"2"	89275
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Not Reported"	"NR"	33
"Total"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"			251508
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Married"	"1"	160918
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unmarried"	"2"	88063
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Not Reported"	"NR"	39
