"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"10"	1544
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Under 20 weeks"	"01"	165
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"20 - 27 weeks"	"02"	3407
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"28 - 31 weeks"	"03"	4554
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"32 - 35 weeks"	"04"	20351
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"36 weeks"	"05"	16927
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"37 - 39 weeks"	"06"	285572
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"40 weeks"	"07"	115976
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"41 weeks"	"08"	37095
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"42 weeks or more"	"09"	1979
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"10"	1634
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Under 20 weeks"	"01"	164
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"20 - 27 weeks"	"02"	3116
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"28 - 31 weeks"	"03"	4360
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"32 - 35 weeks"	"04"	20006
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"36 weeks"	"05"	16412
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"37 - 39 weeks"	"06"	278384
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"40 weeks"	"07"	115822
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"41 weeks"	"08"	38547
